"MEblack","MEbrown4","MEcyan","MEdarkgreen","MEdarkolivegreen","MEdarkorange2","MEdarkturquoise","MEfloralwhite","MEgrey60","MElightgreen","MEplum1"
"X03_120405",0.0028695155203505,-0.208678283223533,0.106038558759261,-0.00469920319734475,0.00485019573987285,-0.0366088664497177,-0.0202163589877026,-0.153568078620054,-0.178857046413365,0.201569240597508,-0.154311682672816
"X04_120405",-0.00496035536681513,-0.094436487715977,0.0193291239384841,-0.00199111488354323,0.0112644463725008,-0.011648929476235,0.0299304736517052,-0.0172389404207066,-0.0289891323690353,-0.00600281429600402,-0.0129576846522123
"X07_120410",-0.0371134252238312,-0.177900487880098,0.127172225982967,-0.00714206254931349,-0.000655576512647915,0.0097858254065826,-0.00581710674142322,-0.129759815911905,-0.104330354761119,0.153685435181276,-0.108497022519421
"X08_120410",-0.0714314039038465,-0.00728236924047722,0.129783809164106,-0.0816733529614933,0.136812071419964,0.07891038523474,-0.0720595824154691,-0.0248731615478225,-0.0730007644799721,0.0130048374720765,-0.0242617317938788
"X102_120418",0.129432371199974,0.139249513425589,-0.116461988463651,-0.12733251044888,0.096020059632414,0.0006112543395953,0.00981120086591938,0.0216771329644568,0.0223974016616349,0.0383678444850118,-0.151749959548053
"X109_120418",0.125898470535048,-0.14638445236248,-0.0261272624159571,0.129227803819953,-0.0856253880608319,-0.21156298305171,-0.0688305873208895,-0.174986031674395,-0.15615529543381,0.221608272953446,-0.144957413311215
"X111_120418",-0.0571411170545747,-0.0152581947093415,0.0315523769661446,0.0349254675749717,-0.0354266212755329,0.00549348865653503,0.0595153624351786,-0.0359273088401382,0.0495454322339557,-0.015988971231514,0.0545336522194877
"X11_120410",0.0399544449222294,-0.0872417776293215,-0.0544615983243074,-0.125328215619561,0.117749369800968,0.0218970867199416,0.077646143667534,0.061569186264389,0.0594559677525965,-0.0554467489269064,0.0787013205095164
"X120_120418",-0.0904245846765709,0.15698660173446,0.0345842940229965,0.0976904920418471,-0.108732588175931,0.0673105453961672,-0.0578411250960376,-0.0175917523490391,0.0254499361237764,-0.0572994509308298,-0.00477786912103529
"X121_120418",0.0131886934645235,-0.052317304482941,0.0451987672398896,-0.0396414763728806,0.0262587765935907,0.000548175584450563,0.18065284807477,-0.0777505176882636,-0.0400102605983876,0.0815187341486356,-0.0572548584234039
"X122_120418",-0.0986442464394024,0.0553860322449716,0.0785957303088586,0.149594028801697,-0.13149364750785,0.0250193446725327,0.115741299070123,-0.077947084099603,0.0150073147197557,-0.0377405159586472,0.0496606863682534
"X124_120419",-0.117725425678204,-0.00932241853673165,0.0590767800770468,0.109362190138115,-0.112028394277259,0.0314894551170129,-0.00962691109690852,0.00725197504693813,0.0234223793934894,-0.110774131638585,0.131315666970364
"X125_120419",-0.145330585818116,-0.0708021506003634,0.172424081273132,0.120787713425838,-0.145757638636077,0.0375350057353262,0.123486703496569,-0.158763326941586,0.0368511741858759,0.0174658238247668,-0.000588879359471236
"X128_120419",-0.0836706424661008,-0.00545328834643608,0.0645952379572709,0.150297354360181,-0.117907614384785,0.0415624749372297,0.0354863610592076,-0.0757968845864891,0.0475135459869224,-0.0516472114656718,0.00123466070546104
"X131_120419",-0.0923953065793052,-0.0369253373814435,0.0987470027473788,-0.022354248996643,-0.00240527347421588,0.0224251969391002,0.0530647530068724,-0.0587438506863837,0.0189214528541043,0.0111233050487126,-0.018708305065273
"X133_120419",-0.13688400598408,-0.0128370591177964,0.16684449748799,0.167247544182495,-0.169352175389249,0.0101321084921454,-0.0183642436403776,-0.207300755468646,-0.126285709747985,0.100937129247,-0.108385456625292
"X138_120419",-0.12238989133043,-0.0293881992694769,0.164311737246403,0.0908082357289013,-0.0907621926972936,0.00354981199263433,0.0958272208013386,-0.171075065628465,-0.0353474113328418,0.0557139823939204,-0.0706383455100553
"X142_120419",0.0506214567987856,-0.00810641090178828,-0.0585879650404313,0.0263591180259524,-0.00680071147073341,-0.0129132800054059,-0.00998273826247522,0.0301227906762369,0.012138248813695,0.0125487714494316,0.0221550339275469
"X146_120419",0.143929853435347,-0.0410150123814819,-0.103202813280622,-0.00306830359370991,-0.0061138549268679,-0.0784792901315727,-0.0782158007863881,-0.000865503136169033,-0.113087963530905,0.0768458458656925,-0.0380051186531264
"X153_120423",0.117433578180116,0.0362696162034995,-0.10316868105598,0.0458554917373531,-0.0221496256441007,-0.0915164939373165,-0.138564275819989,0.0428881547274088,-0.0945377445527264,0.0300354748265056,0.033176877981617
"X158_120423",-0.0663396816721572,0.105260456619859,0.0496628114329382,0.081775223647715,-0.0598370221653328,0.0355296780824208,0.0567669143494654,-0.0286148419485348,-0.0259353623629627,-0.0355292592351357,0.0624716989197297
"X168_120423",0.127732489076202,0.102396904978203,-0.089620040755192,0.0064970775529056,0.0149827303048738,-0.0781646794303197,-0.131615919610436,-0.00135319331963468,-0.146893850774882,0.0747044601833085,-0.107329403067672
"X170_120423",-0.186007243538833,0.00553462142739016,0.175802047546545,-0.103708751581821,0.0383213217021463,0.177405806920998,0.0643736184087944,-0.0145826731028919,0.0878795445261698,-0.0422318233380644,-0.0420681698451896
"X174_120424",-0.0937295639354669,0.11338283623213,0.0343835244802206,0.060675960490911,-0.0919676666087464,0.137378649367806,0.0525052586771098,0.0437753949911705,0.0877821075769761,-0.137601089711347,0.110476003587509
"X176_120424",0.0122270122033134,0.0352885256521414,0.010791698071453,0.0395690183989032,-0.00290447754565082,0.0299103357054196,-0.0323529489517934,0.00462986797948322,-0.0515456829031331,0.0115634213187078,-0.0109111544434394
"X179_120424",-0.0665736555079602,-0.0916791688952795,0.0788718552333348,0.0918850215120542,-0.103682760502113,-0.0241445127998128,0.0670391050309545,-0.121797571991534,-0.0665163826020328,0.0495750471715214,-0.0269771884376266
"X182_120424",0.0841832233341992,-0.00126370533512401,-0.0395374947203393,-0.0272774785800923,0.066518299168247,-0.0242632918075925,-0.116624789209152,0.0376759040166305,-0.136293466715566,0.0310865186419022,-0.0715776022353385
"X183_120424",0.0306535293496874,0.0911029491334737,-0.0498333915378337,-0.129241478284994,0.134182319797467,0.0564287459698605,0.0782288790834961,0.10548694589233,-0.00662461238115426,-0.0790017065808315,0.0992350690756506
"X187_120424",0.0060283658087137,0.0153996865376388,-0.0122768595175303,0.112026090273229,-0.0926154901724989,-0.0398930035457612,-0.0131670905113965,-0.0424151581991679,-0.0170206980955978,-0.00101064073808782,0.0299505282228238
"X19_120411",-0.100476146081591,-0.0480397841801445,0.099841041170124,0.0456334140726454,-0.0621092491539472,0.0631483995242826,-0.0594664812169228,-0.0943400930248876,0.0545182754593624,0.0290938809501737,-0.0606719950217057
"X212_120424",0.110933425140617,0.0465596980993332,-0.132519394130505,0.00175607600337973,-0.00600282918664878,-0.0674668147360731,-0.127160379089083,0.0581882407165556,-0.0323777961062052,0.0194468574239506,0.00744361872602295
"X213_120425",0.0928113727927177,-0.0457948621931726,-0.153509637100961,0.031475113126134,-0.0215478300379047,-0.0827961651999588,-0.0414527428234305,0.0525348850285904,0.0600596222917869,-0.0221456885398843,0.0314302476236951
"X221_120425",-0.105726842476917,-0.089338906156871,0.10238525990821,-0.0330704465709334,0.016225002469261,0.0186928324273136,0.0727389409175932,-0.0245672748409243,0.0711021154641133,-0.021919875251361,0.0292885283080015
"X234_120425",0.150945222423355,-0.0141410242326306,-0.125093938949583,-0.0751016246815613,0.107863281158943,-0.138100803484725,-0.0501542091603535,0.0151579861866992,-0.0263889631695288,0.0663177934574445,-0.0914052775590822
"X242_120426",0.000533869018772708,-0.0671675423911281,0.0142966168073479,0.0308449213347493,-0.00619064670937053,-0.0400446409633326,-0.0580865714892063,0.00935480711117813,-0.051161037601653,0.0237176136303995,0.00573361159068659
"X245_120426",0.0825797455667052,-0.115508366999484,-0.0301315695045697,0.0107006451517097,0.00313426572697704,-0.155982302063676,0.00266844951597494,-0.0788713808372039,-0.083885708218517,0.154001938841243,-0.0426673676683388
"X253_120426",-0.0469825177490013,-0.00154840772991871,0.0433317783157708,-0.0468500008853927,0.0192278989069874,0.0234427694160677,0.0474448054988842,-0.00415978106261947,0.0590163305255139,-0.00279031478689963,-0.00698777145229678
"X260_120426",-0.018248579148795,-0.0142354674648477,-0.040779952301633,0.00230972185724839,-0.0290796017036565,0.00355435347287353,-0.0216479928149728,0.0360472350069901,0.0856788414808611,-0.0529303228995439,0.0627857127174494
"X26_120411",-0.225687310864348,0.0529313372351549,0.189474363162311,0.0384775677537747,-0.0913957997587254,0.197189788304712,0.182222649153516,-0.0286107901182466,0.0565246780553329,-0.126650558301548,0.120234455799554
"X269_120430",-0.040514460604031,-0.108060010461689,0.0227296124963346,-0.064967709295824,0.0455380385909853,0.0383509893614318,0.0848484342050002,0.0510583084350617,0.14234964348161,-0.0941474733990393,0.07308015479222
"X270_120430",-0.00136546096075733,-0.00586616979677682,-0.00961568486365066,0.0323365509992529,-0.0741269250022389,0.0344306065740602,0.0335692144253995,-0.0231602800853152,0.00749076853899452,-0.0184875821278535,0.0271239755122048
"X272_120430",-0.134198619167936,0.0263364962038291,0.099574414960467,0.0483604203802868,-0.0954100291925326,0.144313981077968,0.143206396368966,-0.0277636047375027,0.0224473858310882,-0.106168905259242,0.0892204962977627
"X274_120430",-0.104807363573896,0.0437937249023467,0.00680239775358373,-0.0186054048252899,0.0326923826590997,0.100749665151661,0.016072551100245,0.111042549861012,0.217427192269446,-0.186953172567766,0.128721633373038
